'r_p [-]','p_{su} [bar]','T_{su} [C]','X_{oil} [-]','epsilon_s','phi'
2.798,6.719,92,0.02283,0.5935,1.027
5.705,11.94,124.8,0.01313,0.6205,1.068
5.715,16.06,139,0.007885,0.5701,1.101
3.13,7.111,94.24,0.02007,0.6322,1.031
5.211,10.72,114.4,0.01395,0.6533,1.054
3.377,12.17,123.4,0.01308,0.6734,1.065
4.653,14.1,130.2,0.00935,0.6223,1.085
4.761,9.984,109.6,0.01696,0.6644,1.049
3.883,13.22,127.2,0.01204,0.663,1.073
5.002,10.92,119,0.01809,0.6655,1.057
5.157,15.11,134.8,0.0111,0.5906,1.097
3.737,8.11,99.91,0.01628,0.6656,1.038
3.432,7.627,97.27,0.01717,0.6536,1.035
2.622,9.774,113.3,0.01482,0.6288,1.049
3.593,12.77,126.1,0.01407,0.6737,1.069
4.214,13.4,127.4,0.011,0.6542,1.075
5.341,10.56,114.1,0.01415,0.6481,1.055
4.476,10.25,114.9,0.01943,0.6846,1.051
4.424,9.409,106.7,0.01861,0.6666,1.046
2.027,7.778,108.6,0.02606,0.3428,1.024
4.107,8.822,103.6,0.02471,0.6695,1.041
4.234,10.2,113.7,0.01967,0.6916,1.046
2.369,8.887,109.9,0.01867,0.5544,1.046
3.043,11.15,119.1,0.01821,0.6739,1.058
3.15,8.71,106.6,0.0323,0.6855,1.031
3.634,9.578,110.9,0.01616,0.7103,1.037
3.841,9.671,111.4,0.02005,0.7033,1.04
2.677,16.49,117.1,0.01081,0.691,1.046
2.876,14.27,118.7,0.01106,0.7159,1.027
3.454,12.02,118.5,0.0114,0.7292,1.011
3.178,15.51,122.5,0.01113,0.7271,1.027
2.659,11.76,108.9,0.01559,0.6855,1.019
4.298,12.99,116.4,0.01207,0.7104,1.016
3.392,15.67,121.3,0.01031,0.7173,1.029
2.878,17.96,121.4,0.01325,0.7012,1.047
2.95,10.12,105.6,0.009172,0.7232,1.003
3.114,14.63,119.8,0.02263,0.7305,1.029
2.485,14.46,112.5,0.00993,0.6447,1.058
4.086,10.89,107.2,0.02096,0.722,1.003
3.617,15.19,119,0.01057,0.7199,1.03
1.996,10.93,100.8,0.01194,0.3962,1.056
2.512,6.277,89.34,0.01468,0.5042,1.026
5.436,14.35,123.1,0.00784,0.6584,1.027
3.482,10.01,101.4,0.01147,0.7266,1
2.377,11.84,109.6,0.01369,0.6182,1.022
2.53,7.792,103.3,0.02568,0.5871,1.025
2.813,8.068,103.3,0.02569,0.6437,1.026
2.01,7.426,107.8,0.03638,0.2964,1.019
2.282,8.016,106.7,0.02529,0.5125,1.024
2.222,7.485,102,0.02079,0.4376,1.035
2.155,7.541,93.27,0.01971,0.4703,0.9973
1.983,8.927,96.11,0.01901,0.3553,1.01
2.153,6.49,96.76,0.02161,0.3477,1.04
