i,p_{ex},p_{inj},p_{su},Mdot_{inj},Mdot_{su},r_p,r_{p;inj},DELTAT_{inj},DELTAT_{su},epsilon_s
1,1849000,781300,547100,0.009,0.1546,3.38,1.428,4.951,6.178,0.6052
2,1352000,667500,461700,0.0113,0.129,2.928,1.446,3.877,3.352,0.567
3,1853000,623800,547800,-0.001,0.1583,3.383,1.139,29.88,1.108,0.5909
6,1880000,1016000,726800,0.0179,0.2053,2.587,1.398,7.723,3.024,0.5746
7,1848000,917700,654700,0.0114,0.1891,2.823,1.402,5.844,1.58,0.5899
8,1856000,935100,729100,-0.001,0.2121,2.546,1.283,18.56,2.213,0.5798
9,1854000,843000,656800,-0.0001,0.1907,2.823,1.283,20.53,1.57,0.5951
10,1678000,758100,525400,0.0124,0.1485,3.194,1.443,3.934,5.132,0.6007
11,1681000,669500,522200,0.0001,0.1487,3.219,1.282,31.26,2.733,0.5983
15,1682000,930900,662400,0.0196,0.1851,2.539,1.405,6.762,1.956,0.5659
16,1764000,578500,357500,0.016,0.0941,4.934,1.618,1.83,17.94,0.6054
17,1786000,594200,377800,0.015,0.1001,4.727,1.573,1.942,16.06,0.606
18,1661000,551300,394800,0.0066,0.1023,4.207,1.396,16.68,23.51,0.6151
19,1655000,538400,389700,0.0057,0.1008,4.247,1.382,17.26,23.89,0.6158
20,1647000,540100,385700,0.00676,0.09974,4.27,1.4,16.92,24.24,0.616
21,1929000,794900,617900,0.0002,0.1707,3.122,1.286,37.67,8.624,0.6047
22,2135000,654400,506800,0,0.1323,4.213,1.291,46.96,20.47,0.6165
23,1607000,658600,369600,0.02354,0.09506,4.348,1.782,6.535,25.21,0.5979
24,1611000,574800,445500,-0.0002,0.1166,3.616,1.29,45.03,19,0.5958
25,1606000,554900,267100,0.0273,0.06709,6.013,2.077,0.4863,31.09,0.5865
26,1596000,558000,270800,0.02675,0.06787,5.894,2.061,0.9459,30.74,0.5845
27,1639000,567200,280500,0.02621,0.07002,5.843,2.022,1.401,29.86,0.5808
28,1756000,598500,292200,0.02793,0.07267,6.01,2.048,2.016,30.82,0.5804
29,1815000,629900,299400,0.03097,0.07403,6.062,2.104,3.094,32.72,0.5806
30,2727000,806000,554400,0.0116,0.1493,4.919,1.454,4.599,10.68,0.6039
31,1730000,768900,492200,0.0181,0.1338,3.515,1.562,2.709,11.91,0.6022
32,1670000,780800,506500,0.0182,0.1386,3.297,1.542,5.292,11.8,0.6013
33,1843000,885000,615000,0.014,0.174,2.997,1.439,5.681,5.728,0.5986
34,1854000,886000,622000,0.012,0.178,2.981,1.424,5.723,2.751,0.5904
35,1844000,878000,612000,0.013,0.174,3.013,1.435,5.606,4.838,0.5973
36,1905000,893200,634400,0.0107,0.1806,3.003,1.408,5.663,4.384,0.598
37,1925000,880600,605900,0.0149,0.1659,3.177,1.453,5.897,11.85,0.6086
38,1976000,884300,606100,0.0149,0.1651,3.26,1.459,5.788,12.03,0.6091
39,2277000,748300,588000,0.0001,0.1663,3.872,1.273,25.41,4.894,0.6168
40,1435000,609500,479500,0.0001,0.1289,2.993,1.271,41.07,16.69,0.5926
41,1437000,613700,482500,0.0003,0.1295,2.978,1.272,42.18,16.36,0.5916
42,1444000,619200,486700,-0.0001,0.1313,2.967,1.272,42.41,15.79,0.5911
43,1961000,717100,562400,-0.0002,0.1571,3.487,1.275,39.52,6.695,0.6067
44,1966000,719400,564600,0,0.1576,3.482,1.274,37.25,6.308,0.6057
45,2403000,630500,492700,-0.0005,0.1313,4.877,1.28,45.01,16.49,0.6134
47,2923000,677200,528700,0.0014,0.148,5.529,1.281,40.02,4.062,0.6025
48,2764000,714000,556300,-0.0008,0.15,4.969,1.283,45.3,11.5,0.6006
49,2649000,708300,551800,-0.0002,0.1468,4.801,1.284,46.82,13.26,0.6006
50,2864000,741000,575100,-0.0008,0.1533,4.98,1.288,52.76,11.61,0.5906
51,2114000,542700,428000,-0.0002,0.1189,4.939,1.268,43.7,13.36,0.6291
52,2349000,628300,493100,0.0001,0.1348,4.764,1.274,40.71,10.43,0.6136
53,2800000,759100,590000,-0.0006,0.1536,4.746,1.287,46.12,20.56,0.6074
54,2311000,707000,549600,-0.0014,0.1347,4.205,1.286,51.67,22.79,0.5822
55,1825000,829900,434700,0.035,0.1102,4.198,1.909,5.011,30.45,0.5998
56,2622000,789800,534900,0.0144,0.1443,4.902,1.477,4.34,9.838,0.6071
58,2413000,1377000,921500,0.026,0.2427,2.619,1.494,12.96,22.84,0.5886
59,2452000,1398000,889400,0.0334,0.229,2.757,1.572,11.95,24.99,0.5844
60,2467000,1401000,896800,0.0324,0.2309,2.751,1.562,12.04,24.55,0.5839
61,2515000,1413000,910200,0.0318,0.2347,2.763,1.552,11.85,23.85,0.5851
62,1623000,1230000,692700,0.0429,0.1732,2.343,1.776,13.58,35.19,0.5103
63,1528000,1198000,677300,0.0406,0.1692,2.256,1.769,16.2,36.08,0.4965
64,1578000,1315000,834300,0.0299,0.2275,1.891,1.576,12.44,17.15,0.4473
65,1570000,1290000,764700,0.0381,0.1931,2.053,1.687,19.73,35.59,0.4745
66,1457000,1154000,672800,0.0362,0.1736,2.166,1.715,11,29.37,0.4881
67,1379000,968200,616800,0.0229,0.1657,2.236,1.57,11.37,19.52,0.5202
68,1273000,721400,388700,0.02848,0.09752,3.275,1.856,20.67,38.71,0.5833
69,1253000,701300,364000,0.02859,0.09131,3.442,1.927,17.28,36.39,0.5773
70,1207000,540500,303800,0.01999,0.07792,3.973,1.779,11.39,26.05,0.5837
71,1204000,569400,389000,0.0103,0.109,3.095,1.464,2.5,5.271,0.5653
72,2445000,779600,458300,0.0249,0.1196,5.335,1.701,5.352,21.16,0.6145
73,3319000,997200,731200,0.0071,0.2004,4.539,1.364,6.187,6.252,0.5923
74,2586000,986300,681500,0.0148,0.184,3.795,1.447,6.244,10.59,0.6107
75,1710000,705800,404200,0.0244,0.1033,4.231,1.746,25.87,36.75,0.641
76,1685000,723600,410800,0.0243,0.1026,4.102,1.761,25.21,36.13,0.6214
77,1566000,702200,399100,0.02317,0.09863,3.924,1.759,26.21,37.55,0.6125
78,1470000,688800,392900,0.02239,0.09591,3.741,1.753,26.82,43.39,0.6125
79,1230000,552600,299100,0.02,0.07584,4.112,1.848,33.51,39.02,0.6108
80,1210000,642700,303000,0.02911,0.07549,3.993,2.121,28.6,38.18,0.5771
81,1200000,620100,282200,0.02959,0.06962,4.252,2.197,25.17,43.66,0.5795
82,1189000,608900,274000,0.02968,0.06752,4.339,2.222,20.71,38.59,0.5668
83,1184000,590600,259900,0.02992,0.06708,4.556,2.272,16.66,12.25,0.532
84,1157000,481700,251300,0.01977,0.06767,4.604,1.917,18.64,9.281,0.5567
85,1154000,498100,264800,0.01971,0.06863,4.358,1.881,12.68,28.13,0.5834
86,2389000,573800,447000,-0.0008,0.1221,5.345,1.284,36.18,6.837,0.5903
87,1191000,443800,349300,-0.00033,0.09631,3.41,1.271,43.68,15.24,0.5839
88,1206000,461000,362000,-0.00083,0.1004,3.331,1.273,42.2,11.61,0.5771
89,1203000,453400,355100,-0.00083,0.09732,3.388,1.277,45.12,13.91,0.5791
90,1611000,730500,573900,0.0001,0.1568,2.807,1.273,32.29,14.31,0.6002
91,2471000,641700,501300,-0.0001,0.1278,4.929,1.28,40.81,33.28,0.6407
92,2463000,622100,484400,-0.0002,0.1265,5.085,1.284,49.07,17.44,0.6028
94,1135000,364900,152000,0.01968,0.04166,7.467,2.401,19.03,5.502,0.5146
95,1217000,433400,207600,0.01996,0.05652,5.862,2.088,11.42,5.144,0.539
96,1226000,389000,161400,0.02015,0.04239,7.596,2.41,14.5,8.448,0.5212
97,1666000,440000,165600,0.027,0.04313,10.06,2.657,4.224,5.167,0.5172
98,2044000,490000,238600,0.02274,0.06402,8.567,2.054,6.527,4.068,0.5555
99,1981000,471100,213300,0.02395,0.05628,9.287,2.209,7.022,5.597,0.5448
100,1532000,452500,354400,-0.00028,0.09679,4.323,1.277,30.67,9.639,0.5881
101,1370000,276200,221500,-0.00131,0.05649,6.185,1.247,40.98,3.88,0.5227
102,1679000,217900,170300,-0.00062,0.04494,9.859,1.28,43.46,6.461,0.4913
103,1597000,198800,155700,-0.0009,0.04101,10.26,1.277,44.52,7.405,0.4842
105,2390000,276800,213300,-0.00045,0.05754,11.2,1.298,35.89,6.787,0.4964
106,1998000,260000,202200,-0.00048,0.05387,9.881,1.286,37.59,7.37,0.5098
